SUBJECT,CONTENT
physics/,"354 Let 0 be the angle made by the string with the vertical. When the bob is at the mean position, 9 = 0 There are only two forces acting on the bob; the tension T along the string and the vertical force due to gravity (=mg). The force mg can be resolved into the component mg cost) along the string and mg sine perpendicular to it. Since the motion of the bob is along a circle of length L and centre at the support point, the bob has a radial acceleration (wZL) and also a tangental acceleration; the latter arises since motion along the arc of the circle is not uniform. The radial acceleration is provided by the net radial force T —mg cosG, while the tangential acceleration is provided by mg sine. It is more convenient to work with torque about the support since the radial force gives zero torque. Torque 1' about the support is entirely provided by the tangental component of force 1 = —L (mg sine) (14.22) This is the restoring torque that tends to reduce angular displacement — hence the negative sign. By Newton’s law of rotational motion, 1' = ICC (14.23) where I is the moment of inertia of the system about the support and 0L is the angular acceleration. Thus, I a: —mg sin 0 L (14.24) Or, mgL a = — sin6 (14.25) We can simplify Eq. (14.25) if we assume that the displacement 9 is small. We know that sin 9 can be expressed as, sing: 0—£+i+m (14.26) 3! 5! _ where 6 is in radians. Now if 0 is small, sin 9 can be approximated by 0 and Eq. (14.25) can then be written as, mgL ‘1 = —T‘9 (14.27) In Table 14.1, we have listed the angle 9 in degrees, its equivalent in radians, and the value 2019-20 PHYSICS Sl-IM - how small should the amplitude be? When you perform the experiment to determine the time period of a simple pendulum, your teacher tells you to keep the amplitude small. But have you ever asked how small is small? Should the amplitude to 5°, 2°, 1°. Or 05°? Or could it be 10°. 20°, or 30°? To appreciate this. It would be better to measure the time period for different amplitudes, up to large amplitudes. Of course, for large oscillations, you will have to take care that the pendulum oscillates in a vertical plane. Let us denote the time period for small-amplitude oscillations as T(0) and write the time period for amplitude 00 as ’1190) = cT(0). Where cis the multiplying factor. If you plot a graph of c versus 00. You will get values somewhat like this: 20° 45° 50° 700 90° 1.02 1.04 1.05 1.10 1.18 This means that the error in the time period is about 2% at an amplitude of 20°. 5% at an amplitude of 50°. And 10% at an amplitude of 70° and 18% at an amplitude of 90°. In the experiment. You will never be able to measure T(0) because this means there are no oscillations. Even theoretically, sin 0 is exactly equal to 0 only for 6 = 0. There will be some inaccuracy for all other values of 0 . The difference increases with increasing 9 . Therefore we have to decide how much error we can tolerate. No measurement is ever perfectly accurate. You must also consider questions like these: What is the accuracy of the stopwatch? What is your own accuracy in starting and stopping the stopwatch? You will realise that the accuracy in your measurements at this level is never better than 5% or 10%. Since the above table shows that the time period of the pendulum increases hardly by 5% at an amplitude of 50° over its low amplitude value. You could very well keep the amplitude to be 50° in your experiments."
physics/,"LAWS OF MOTION 95 dP F _ k— t (5.2) For a body of fixed mass m, d_P : 1(mv) : md_"" : ma (5.3) dt dt dt i.e the Second Law can also be written as F = k ma (5.4) which shows that force is proportional to the product of mass m and acceleration a. The unit of force has not been defined so far. In fact, we use Eq. (5.4) to deﬁne the unit of force. We, therefore, have the liberty to choose any constant value for k. For simplicity, we choose k = 1. The second law then is dp_ F: E — ma (5.5) In SI unit force is one that causes an acceleration of 1 m s2 to a mass of 1 kg. This unit is known as newton: 1 N = 1 kgm s2. Let us note at this stage some important points about the second law : 1. In the second law, F = 0 implies a = O. The second law is obviously consistent with the first law. 2. The second law of motion is a vector law. It is equivalent to three equations, one for each component of the vectors : dp FX 2 dtx = max dpy Fy = — 2 may dt dp Fz= dtz=m a2 (5.6) This means that if a force is not parallel to the velocity of the body, but makes some angle with it, it changes only the component of velocity along the direction of force. The component of velocity normal to the force remains unchanged. For example, in the motion of a projectile under the vertical gravitational force, the horizontal component of velocity remains unchanged (Fig. 5.5). 3. The second law of motion given by Eq. (5.5) is applicable to a single point particle. The force F in the law stands for the net external force on the particle and a stands for acceleration of the particle. It turns out, however, that the law in the same form applies to a rigid body or, even more generally, to a system of particles. In that case, F refers to the total external force on the system and a refers to the acceleration of the system as a whole. More precisely, a is the acceleration of the centre of mass of the system about which we shall study in detail in chapter 7. Any internal forces in the system are not to be included in F. Fig. 5.5 Acceleration at an instant is detem1ined by the force at that instant. The moment after a stone is dropped out of an accelerated train, it has no horizontal acceleration or force, if air resistance is neglected. The stone carries no memory of its acceleration with the train a moment ago. 4. The second law of motion is a local relation which means that force F at a point in space (location of the particle) at a certain instant of time is related to a at that point at that instant. Acceleration here and now is determined by the force here and now, not by any history of the motion of the particle (See Fig. 5.5). > Example 5.2 A bullet of mass 0.04 kg moving with a speed of 90 m s'1 enters a heavy wooden block and is stopped after a distance of 60 cm. What is the average resistive force exerted by the block on the bullet? Answer The retardation ‘a’ of the bullet (assumed constant) is given by —u2 _ —90 x 90 _ —ms'2 =—6750ms'2 23 2x0.6 a: 2019-20"
accounts/,"100 Accountancy 4. 1 Cash Book Cash book is a book in which all transactions relating to cash receipts and cash payments are recorded. It starts with the cash or bank balances at the beginning of the period. Generally, it is made on monthly basis. This is a very popular book and is maintained by all organisations, big or small, profit or not-for- profit. It serves the purpose of both journal as well as the ledger (cash) account. It is also called the book of original entry. When a cashbook is maintained, transactions of cash are not recorded in the journal, and no separate account for cash or bank is required in the ledger. 4.1.1 Single Column Cash Back The single column cash book records all cash transactions of the business in a chronological order, i.e., it is a complete record of cash receipts and cash payments. When all receipts and payments are made in cash by a business organisation only, the cash book contains only one amount column on each (debit and credit) side. The format of single column cash book is shown in figure 4.1. Cash Book Dr. Cr. ? ? Fig. 4.1 : Format of single column cash book Recording of entries in the single column cash book and its balancing is illustrated by an example. Consider the following transactions of M / s Roopa Traders observe how they are recorded in a single column cash book. Cash in hand Cash received from Gurmeet Insurance paid [Annual Instalment) Purchased furniture Sold goods for cash Purchased goods from Mudit in cash Purchase stationery Cash paid to Rukmani in full settlement of account 2019-2020"
biology/,"316 BIOLOGY 21. 1 NEURAL SYSTEM The neural system of all animals is composed of highly specialised cells called neurons which can detect, receive and transmit different kinds of stimuli. The neural organisation is very simple in lower invertebrates. For example, in Hydra it is composed of a network of neurons. The neural system is better organised in insects, where a brain is present along with a number of ganglia and neural tissues. The vertebrates have a more developed neural system. 21.2 HUMAN NEURAL SYSTEM The human neural system is divided into two parts : (i) the central neural system (CNS) (ii) the peripheral neural system (PNS) The CNS includes the brain and the spinal cord and is the site of information processing and control. The PNS comprises of all the nerves of the body associated with the CNS (brain and spinal cord). The nerve ﬁbres of the PNS are of two types : (a) afferent fibres (b) efferent ﬁbres The afferent nerve ﬁbres transmit impulses from tissues / organs to the CNS and the efferent ﬁbres transmit regulatory impulses from the CNS to the concerned peripheral tissues / organs. The PNS is divided into two divisions called somatic neural system and autonomic neural system. The somatic neural system relays impulses from the CNS to skeletal muscles while the autonomic neural system transmits impulses from the CNS to the involuntary organs and smooth muscles of the body. The autonomic neural system is further classiﬁed into sympathetic neural system and parasympathetic neural system. Visceral nervous system is the part of the peripheral nervous system that comprises the whole complex of nerves, ﬁbres, ganglia, and plexuses by which impulses travel from the central nervous system to the viscera and from the viscera to the central nervous system. 21.3 NEURON As STRUCTURAL AND FUNCTIONAL UNIT 0F NEURAL SYSTEM A neuron is a microscopic structure composed of three major parts, namely, cell body, dendrites and axon (Figure 2 1. 1). The cell body contains cytoplasm with typical cell organelles and certain granular bodies called Nissl’s granules Short ﬁbres which branch repeatedly and project out of the cell body also"
accounts/,"Trial Balance and Rectification of Errors 191 case of two errors compensating each other’s effect. One plus is set off by the other minus, the net effect of these two errors is nil and so they do not affect the agreement of trial balance. 6.5 Searching of Errors If the trial balance does not tally, it is a clear indication that at least one error has occured. The error (or errors) needs to be located and corrected before preparing the ﬁnancial statements. If the trial balance does not tally, the accountant should take the following steps to detect and locate the errors : Recast the totals of debit and credit columns of the trial balance. Compare the account head / title and amount appearing in the trial balance, with that of the ledger to detect any difference in amount or omission of an account. Compare the trial balance of current year with that of the previous year to check additions and deletions of any accounts and also verify whether there is a large difference in amount, which is neither expected nor explained. Re-do and check the correctness of balances of individual accounts in the ledger. Re-check the correctness of the posting in accounts from the books of original entry. If the difference between the debit and credit columns is divisible by 2, there is a possibility that an amount equal to one-half of the difference may have been posted to the wrong side of another ledger account. For example, if the total of the debit column of the trial balance exceeds by ? 1,500, it is quite possible that a credit item of ?750 may have been wrongly posted in the ledger as a debit item. To locate such errors, the accountant should scan all the debit entries of an amount of ? 750. The difference may also indicate a complete omission of a posting. For example, the difference of ? 1,500 given above may be due to omissions of a posting of that amount on the credit side. Thus, the accountant should verify all the credit items with an amount of ? 1,500. If the difference is a multiple of 9 or divisible by 9, the mistake could be due to transposition of figures. For example, if a debit amount of ? 459 is posted as ? 954, the debit total in the trial balance will exceed the credit side by ? 495 (i.e. 954 — 459 = 495). This difference is divisible by 9. A mistake due to wrong placement of the decimal point may also be checked by this method. Thus, a difference in trial balance divisible by 9 helps in checking the errors for a transposed mistake. 2019-2020"
biology/,"BODY FLUIDS AND CIRCULATION 18.1 .3.2 Rh grouping Another antigen, the Rh antigen similar to one present in Rhesus monkeys (hence Rh), is also observed on the surface of RBCs of majority (nearly 80 per cent) of humans. Such individuals are called Rh positive (Rh+ve) and those in whom this antigen is absent are called Rh negative mh-ve). An Rh-ve person, if exposed to Rh+ve blood, will form speciﬁc antibodies against the Rh antigens. Therefore, Rh group should also be matched before transfusions. A special case of Rh incompatibility (mismatching) has been observed between the Rh-ve blood of a pregnant mother with Rh+ve blood of the foetus. Rh antigens of the foetus do not get exposed to the Rh-ve blood of the mother in the ﬁrst pregnancy as the two bloods are well separated by the placenta. However, during the delivery of the ﬁrst child, there is a possibility of exposure of the maternal blood to small amounts of the Rh+ve blood from the foetus. In such cases, the mother starts preparing antibodies against Rh antigen in her blood. In case of her subsequent pregnancies, the Rh antibodies from the mother (Rh-ve) can leak into the blood of the foetus (Rh+ve) and destroy the foetal RBCs. This could be fatal to the foetus or could cause severe anaemia and jaundice to the baby. This condition is called erythroblastosis foetalis. This can be avoided by administering anti-Rh antibodies to the mother immediately after the delivery of the ﬁrst child. 18. 1.4 Coagulation of Blood You know that when you cut your ﬁnger or hurt yourself, your wound does not continue to bleed for a long time; usually the blood stops ﬂowing after sometime. Do you know why? Blood exhibits coagulation or clotting in response to an injury or trauma. This is a mechanism to prevent excessive loss of blood from the body. You would have observed a dark reddish brown scum formed at the site of a cut or an injury over a period of time. It is a clot or coagulam formed mainly of a network of threads called ﬁbrins in which dead and damaged formed elements of blood are trapped. Fibrins are formed by the conversion of inactive ﬁbrinogens in the plasma by the enzyme thrombin. Thrombins, in turn are formed from another inactive substance present in the plasma called prothrombin. An enzyme complex, thrombokinase, is required for the above reaction. This complex is formed by a series of linked enzymic reactions (cascade process) involving a number of factors present in the plasma in an inactive state. An injury or a trauma stimulates the platelets in the blood to release certain factors which activate the mechanism of coagulation. Certain factors released by the tissues at the site of injury also can initiate coagulation. Calcium ions play a very important role in clotting."
biology/,"Chapter 8 Cell: The Unit of Life Chapter 9 Biomolecules Chapter 10 Cell Cycle and Cell Division M Phase [M itas is] UNIT 3 CELL: STRUCTURE AND FUNCTIONS Biology is the study of living organisms. The detailed description of their form and appearance only brought out their diversity. It is the cell theory that emphasised the unity underlying this diversity of fonns, i.e., the cellular organisation of all life forms. A description of cell structure and cell growth by division is given in the chapters comprising this unit. Cell theory also created a sense of mystery around living phenomena, i.e., physiological and behavioural processes. This mystery was the requirement of integrity of cellular organisation for living phenomena to be demonstrated or observed. In studying and understanding the physiological and behavioural processes, one can take a physico-chemical approach and use cell-free systems to investigate. This approach enables us to describe the various processes in molecular terms. The approach is established by analysis of living tissues for elements and compounds. It will tell us what types of organic compounds are present in living organisms. In the next stage, one can ask the question: What are these compounds doing inside a cell? And, in what way they carry out gross physiological processes like digestion, excretion, memory, defense, recognition, etc. In other words we answer the question, what is the molecular basis of all physiological processes? It can also explain the abnormal processes that occur during any diseased condition. This physico-chemical approach to study and understand living organisms is called ‘Reductionist Biology’. The concepts and techniques of physics and chemistry are applied to understand biology. In Chapter 9 of this unit, a brief description of biomolecules is provided. 2019-2020"
biology/,"EXCRETORY PRODUCTS AND THEIR ELIMINATION composition as that of plasma except the nitrogenous wastes. The porous cellophane membrance of the tube allows the passage of molecules based on concentration gradient. As nitrogenous wastes are absent in the dialysing ﬂuid, these substances freely move out, thereby clearing the blood. The cleared blood is pumped back to the body through a vein after adding anti-heparin to it. This method is a boon for thousands of uremic patients all over the world. Kidney transplantation is the ultimate method in the correction of acute renal failures (kidney failure). A functioning kidney is used in transplantation from a donor, preferably a close relative, to minimise its chances of rejection by the immune system of the host. Modern clinical procedures have increased the success rate of such a complicated technique. Renal calculi: Stone or insoluble mass of crystallised salts (oxalates, etc.) formed within the kidney. Glomerulonephritis: Inﬂammation of glomeruli of kidney. SUMMARY Many nitrogen containing substances, ions, C02, water, etc. that accumulate in the body have to be eliminated. Nature of nitrogenous wastes formed and their excretion vary among animals, mainly dependlng on the habitat (availability of water). Ammonia, urea and E‘uric aCIdkare the major nitrogenous wastes excreted Protonephndia,nephi;1d1a ma1p1gh1a1‘1 tubules, green glands and the kidneys are the common excretory organs inq.m z _ ‘ but also help In the maintenandéof io‘. 'c and acid- base balance of body ﬂuids. In humans, the excretorysystem consists of one pair of lddneys, a pair of ureters, a urinary bladder and a urethra Each kidney has over a million tubular structures called nephrons. Nephron Is the functional unit of kidney and has two portions — glomerulus and renal tubule. Glomerulus' 1s a tuft of capillaries formed from afferent arterioles, ﬁne branches of renal artery. The renal tubule starts with a double walled Bowman’s capsulagand is further differentiated into a proximal convoluted tubule (PCT), Henle’ s l‘é’dp (HL) and distal convoluted tubule (DCT). The DCTs of many nephrons Join to a common collecting duct many of Wthh ultimately open into the renal pelvis through the medullary pyramids. The Bowman’s capsule encloses the glomerulus to form Malpighian or renal corpuscle. Urine formation involves three main processes, i.e., ﬁltration, reabsorption and secretion. Filtration is a non-selective process performed by the glomerulus using the glomerular capillary blood pressure. About 1200 ml of blood is ﬁltered by the glomerulus per minute to form 125 ml of ﬁltrate in the Bowman’s capsule per"
accounts/,"156 20 Cheque received from Manisha (deposited same day] 22 Cash Sales 25 Manisha’s cheque returned dishonoured 28 Paid Rent 29 Paid telephone expenses by cheque 31 Cash withdrawn for personal use Prepare bank column cash book (Ans. Cash in hand ? 15,954 cash at bank 7 6,060] Petty Cash Book Accountancy 10,000 7,000 2,000 500 2,000 1 1. Prepare petty cash book from the following transactions. The imprest amount is ?2,000. 2017 January 01 Paid cartage 02 STD charges 02 Bus fare 03 Postage 04 Refreshment for employees 06 Courier charges 08 Refreshment of customer 10 Cartage 15 Taxi fare to manager 18 Stationery 20 Bus fare 22 Fax charges 25 Telegrams charges 27 Postage stamps 29 Repair on furniture 30 Laundry expenses 31 Miscellaneous expenses (Ans. Cash balance ? 935] 7 50 40 20 30 80 30 50 35 70 65 10 30 35 200 1 05 1 1 5 1 00 12. Record the following transactions during the week ending Dec.30, 2014 with a weekly imprest ? 500. 2017 January 24 Stationery 25 Bus fare 25 Cartage 26 Taxi fare 27 Wages to casual labour 29 Postage (Ans. Cash balance 7 98] Other Subsidiary Books ? 1 00 1 2 40 80 90 80 13. Enter the following transactions in the Purchase Journal (Book) of M / s Gupta Traders of July 20 1 7: 2019-2020"
accounts/,"224 Furniture A/c To Purchases A/c Cash A/c To Commission A/c Cash A/c To Sales A/c Commission A/c To Sales A/c Cash A/c To Nadeem’s A/c Cash A/c To Karim’s A/c Test Your Understanding - III 1. Error of Commission Mohan’s A/c To Sales A/c Mohan’s A/c To Sales A/c Suspense A/c To Mohan’s A/c Error of Partial omission xxx A/c To Cash A/c Neha’s A/c To Suspense A/c Neha’s A/c To Suspense A/c Dr. Dr. Dr. Dr. Dr. Dr. Dr. Dr. Dr. Dr. Dr. Dr. 2019-2020 8,000 8,000 15,000 15,000 15,000 15,000 15,000 15,000 6, 000 6,000 6,000 6,000 12, 000 12,000 10,000 10,000 2,000 2,000 2,000 2,000 2,000 2,000 2,000 2,000 Accountancy"
